RUN  1
40	20	8.732166352992122E-5
60	20	7.889724914223801E-5
80	20	5.049183232822465E-5
100	20	5.049183232822465E-5
180	20	5.049183232822465E-5
200	20	5.049183232822465E-5
220	20	5.049183232822465E-5
240	20	5.049183232822465E-5
260	20	5.049183232822465E-5
300	20	5.049183232822465E-5
340	20	5.049183232822465E-5
380	20	5.049183232822465E-5
540	20	5.049183232822465E-5
620	20	5.049183232822465E-5
700	20	5.049183232822465E-5
780	20	5.049183232822465E-5
1100	20	5.049183232822465E-5
1180	20	5.049183232822465E-5
1260	20	5.049183232822465E-5
1340	20	5.049183232822465E-5
1420	20	5.049183232822465E-5
1580	20	5.049183232822465E-5
1660	20	5.049183232822465E-5
1740	20	5.049183232822465E-5
1820	20	5.049183232822465E-5
1900	20	5.049183232822465E-5
2060	20	5.049183232822465E-5
2220	20	5.049183232822465E-5
2860	20	5.049183232822465E-5
3180	20	5.049183232822465E-5
3500	20	5.049183232822465E-5
3820	20	5.049183232822465E-5
5100	20	5.049183232822465E-5
5420	20	5.049183232822465E-5
5740	20	5.049183232822465E-5
6060	20	5.049183232822465E-5
6380	20	5.049183232822465E-5
7020	20	5.049183232822465E-5
7660	20	5.049183232822465E-5
8300	20	5.049183232822465E-5
10860	20	5.049183232822465E-5
12140	20	5.049183232822465E-5
13420	20	5.049183232822465E-5
14700	20	5.049183232822465E-5
19820	20	5.049183232822465E-5
21100	20	5.049183232822465E-5
22380	20	5.049183232822465E-5
23660	20	5.049183232822465E-5
24940	20	5.049183232822465E-5
27500	20	5.049183232822465E-5
28780	20	5.049183232822465E-5
30060	20	5.049183232822465E-5
31340	20	5.049183232822465E-5
32620	20	5.049183232822465E-5
35180	20	5.049183232822465E-5
37740	20	5.049183232822465E-5
47980	20	5.049183232822465E-5
50540	20	5.049183232822465E-5
53100	20	5.049183232822465E-5
55660	2560	5.019569396680479E-5
58220	2560	5.019569396680479E-5
63340	2560	5.019569396680479E-5
68460	2560	5.019569396680479E-5
73580	2560	5.019569396680479E-5
94060	2560	5.019569396680479E-5
104300	2560	5.019569396680479E-5
RUN  2
40	20	6.9959915240215E-5
60	20	5.808023963770749E-5
80	20	5.808023963770749E-5
100	20	5.676016845478461E-5
180	40	5.6652345674743474E-5
220	40	5.6652345674743474E-5
260	40	5.6652345674743474E-5
300	40	5.6652345674743474E-5
460	40	5.6652345674743474E-5
540	80	5.221950422705795E-5
620	80	5.221950422705795E-5
700	80	5.221950422705795E-5
1020	80	5.221950422705795E-5
1100	80	5.221950422705795E-5
1180	80	5.221950422705795E-5
1260	80	5.221950422705795E-5
1340	80	5.221950422705795E-5
1500	80	5.221950422705795E-5
1580	80	5.221950422705795E-5
1660	80	5.221950422705795E-5
1740	80	5.221950422705795E-5
1820	80	5.221950422705795E-5
1980	80	5.221950422705795E-5
2140	80	5.221950422705795E-5
2780	320	5.1803429005051026E-5
2940	320	5.1803429005051026E-5
3100	320	5.1803429005051026E-5
3260	160	5.118780290633872E-5
3420	160	5.118780290633872E-5
3740	160	5.118780290633872E-5
3900	160	5.118780290633872E-5
4060	160	5.118780290633872E-5
4220	160	5.118780290633872E-5
4380	160	5.118780290633872E-5
4700	160	5.118780290633872E-5
4860	160	5.118780290633872E-5
5020	160	5.118780290633872E-5
5180	160	5.118780290633872E-5
5340	160	5.118780290633872E-5
5660	160	5.118780290633872E-5
6940	160	5.118780290633872E-5
7100	160	5.118780290633872E-5
7260	160	5.118780290633872E-5
7420	160	5.118780290633872E-5
7580	160	5.118780290633872E-5
7900	160	5.118780290633872E-5
8060	160	5.118780290633872E-5
8220	160	5.118780290633872E-5
8380	160	5.118780290633872E-5
8540	160	5.1090534538303676E-5
8860	160	5.1090534538303676E-5
9180	160	5.1090534538303676E-5
9500	160	5.1090534538303676E-5
10140	640	5.058937048901926E-5
10460	640	5.058937048901926E-5
10780	640	5.058937048901926E-5
11100	640	5.058937048901926E-5
11420	640	5.058937048901926E-5
12060	640	5.058937048901926E-5
12380	640	5.058937048901926E-5
12700	640	5.058937048901926E-5
13020	640	5.058937048901926E-5
13340	640	5.058937048901926E-5
13980	640	5.058937048901926E-5
16540	640	5.058937048901926E-5
17820	640	5.058937048901926E-5
19100	640	5.058937048901926E-5
20380	640	5.058937048901926E-5
25500	640	5.058937048901926E-5
26780	640	5.058937048901926E-5
